Date,Time of Sleep,Quality
,,
,,
,,
2022-03-27,19.554717779159542,38.32060185185185
2022-03-27,20.199888467788696,38.45601851851852
2022-03-27,7.376624584197998,36.1712962962963
2022-03-27,2.602716445922852,28.99305555555556
2022-03-27,3.9768452644348153,32.307870370370374
2022-03-27,24.185800790786743,52.626953125
2022-03-27,16.43200421333313,34.69384765625
2022-03-27,12.863136291503906,49.03271484375
2022-03-27,18.73216414451599,17.54150390625
2022-03-27,67.35277104377747,71.61458333333334
2022-03-27,68.6738269329071,71.70717592592592
2022-03-27,189.43196821212769,27.48611111111111
2022-03-27,34.73985958099365,65.078125
2022-03-27,29.29941177368164,51.46972656249999
2022-03-27,173.86479258537292,81.34326171875
2022-03-28,29.191524505615234,52.56712962962964
2022-03-28,11.764038801193236,38.27199074074075
2022-04-09,12.039849758148192,38.06828703703704
2022-06-01,75.96801328659058,71.77083333333334
2022-06-02,3.211843490600586,31.41087962962963
2022-06-02,17.304519414901733,57.94775390625
2022-09-08,11.394370079040527,76.783203125
